fecha;Linea;Cantidad
1/12/2024;ROPA INTERIOR;1905
1/12/2024;SOBRETODO;19900
1/12/2024;PRODUCTOS DE MODA;5269
1/01/2025;ACCESORIOS;4746
1/01/2025;BLUSA;14324
1/01/2025;CAMISETA;58123
1/01/2025;CORTOS;11010
1/01/2025;MARROQUINERIA;3257
1/01/2025;PANTALON;46577
1/01/2025;PANTALONES DE MODA;69
1/01/2025;PANTALONES DE MODA;2521
1/01/2025;PRODUCTOS DE MODA;1304
1/01/2025;ROPA INTERIOR;480
1/01/2025;SOBRETODO;6490
1/02/2025;ACCESORIOS;4973
1/02/2025;BLUSA;17901
1/02/2025;CAMISETA;55799
1/02/2025;CORTOS;9932
1/02/2025;DEPORTIVO;60
1/02/2025;MARROQUINERIA;3324
1/02/2025;PANTALON;47378
1/02/2025;PANTALONES DE MODA;2696
1/02/2025;PRODUCTOS DE MODA;2168
1/02/2025;ROPA INTERIOR;431
1/02/2025;SOBRETODO;7596
1/03/2025;ACCESORIOS;5433
1/03/2025;BLUSA;17081
1/03/2025;CAMISETA;59119
1/03/2025;CORTOS;9125
1/03/2025;DEPORTIVO;28
1/03/2025;MARROQUINERIA;2727
1/03/2025;PANTALON;48843
1/03/2025;PANTALONES DE MODA;1966
1/03/2025;PRODUCTOS DE MODA;1708
1/03/2025;ROPA INTERIOR;344
1/03/2025;SOBRETODO;7955
1/04/2025;ACCESORIOS;5792
1/04/2025;BLUSA;19507
1/04/2025;CAMISETA;58350
1/04/2025;CORTOS;10330
1/04/2025;DEPORTIVO;29
1/04/2025;MARROQUINERIA;2872
1/04/2025;PANTALON;49124
1/04/2025;PANTALONES DE MODA;2735
1/04/2025;PRODUCTOS DE MODA;1415
1/04/2025;ROPA INTERIOR;194
1/04/2025;SOBRETODO;7054
1/05/2025;ACCESORIOS;6776
1/05/2025;BLUSA;27152
1/05/2025;CAMISETA;72761
1/05/2025;CORTOS;11359
1/05/2025;DEPORTIVO;662
1/05/2025;MARROQUINERIA;3473
1/05/2025;PANTALON;83046
1/05/2025;PANTALONES DE MODA;4847
1/05/2025;PRODUCTOS DE MODA;2532
1/05/2025;ROPA INTERIOR;231
1/05/2025;SOBRETODO;12308
1/06/2025;ACCESORIOS;5812
1/06/2025;BLUSA;23363
1/06/2025;CAMISETA;64977
1/06/2025;CORTOS;13615
1/06/2025;DEPORTIVO;236
1/06/2025;MARROQUINERIA;3329
1/06/2025;PANTALON;53070
1/06/2025;PANTALONES DE MODA;5448
1/06/2025;PRODUCTOS DE MODA;1821
1/06/2025;ROPA INTERIOR;220
1/06/2025;SOBRETODO;7721
1/07/2025;ACCESORIOS;6381
1/07/2025;BLUSA;25490
1/07/2025;CAMISETA;80981
1/07/2025;CORTOS;14786
1/07/2025;DEPORTIVO;150
1/07/2025;MARROQUINERIA;4790
1/07/2025;PANTALON;64360
1/07/2025;PANTALONES DE MODA;7314
1/07/2025;PRODUCTOS DE MODA;2607
1/07/2025;ROPA INTERIOR;252
1/07/2025;SOBRETODO;8039
1/08/2025;ACCESORIOS;5458
1/08/2025;BLUSA;20059
1/08/2025;CAMISETA;59660
1/08/2025;CORTOS;9907
1/08/2025;DEPORTIVO;83
1/08/2025;MARROQUINERIA;3887
1/08/2025;PANTALON;55145
1/08/2025;PANTALONES DE MODA;5575
1/08/2025;PRODUCTOS DE MODA;2484
1/08/2025;ROPA INTERIOR;124
1/08/2025;SOBRETODO;7556
1/09/2025;ACCESORIOS;7207
1/09/2025;BLUSA;20236
1/09/2025;CAMISETA;66748
1/09/2025;CORTOS;10245
1/09/2025;DEPORTIVO;51
1/09/2025;MARROQUINERIA;4448
1/09/2025;PANTALON;56373
1/09/2025;PANTALONES DE MODA;7061
1/09/2025;PRODUCTOS DE MODA;3374
1/09/2025;ROPA INTERIOR;123
1/09/2025;SOBRETODO;10665
1/10/2025;ACCESORIOS;5965
1/10/2025;BLUSA;21652
1/10/2025;CAMISETA;60000
1/10/2025;CORTOS;9886
1/10/2025;DEPORTIVO;43
1/10/2025;MARROQUINERIA;3996
1/10/2025;PANTALON;58487
1/10/2025;PANTALONES DE MODA;5797
1/10/2025;PRODUCTOS DE MODA;2739
1/10/2025;ROPA INTERIOR;71
1/10/2025;SOBRETODO;11997
1/11/2025;ACCESORIOS;11554
1/11/2025;BLUSA;36015
1/11/2025;CAMISETA;93365
1/11/2025;CORTOS;15643
1/11/2025;DEPORTIVO;426
1/11/2025;MARROQUINERIA;7310
1/11/2025;PANTALON;105948
1/11/2025;PANTALONES DE MODA;7177
1/11/2025;PRODUCTOS DE MODA;4557
1/11/2025;ROPA INTERIOR;62
1/11/2025;SOBRETODO;16460
1/12/2025;ACCESORIOS;14038
1/12/2025;BLUSA;67436
1/12/2025;CAMISETA;189372
1/12/2025;CORTOS;35603
1/12/2025;DEPORTIVO;727
1/12/2025;MARROQUINERIA;13619
1/12/2025;PANTALON;199740
1/12/2025;PANTALONES DE MODA;13295
1/12/2025;PRODUCTOS DE MODA;6829
1/12/2025;ROPA INTERIOR;82
1/12/2025;SOBRETODO;24787
1/01/2026;ACCESORIOS;6003
1/01/2026;BLUSA;15843
1/01/2026;CAMISETA;52720
1/01/2026;CORTOS;10269
1/01/2026;DEPORTIVO;100
1/01/2026;MARROQUINERIA;4802
1/01/2026;PANTALON;41179
1/01/2026;PANTALONES DE MODA;3947
1/01/2026;PRODUCTOS DE MODA;1669
1/01/2026;ROPA INTERIOR;24
1/01/2026;SOBRETODO;6598
1/02/2026;PANTALON;49398
1/03/2026;PANTALON;29908
1/02/2026;CAMISETA;52284
1/03/2026;CAMISETA;33623
1/02/2026;BLUSA;16266
1/03/2026;BLUSA;9999
1/02/2026;CORTOS;10674
1/03/2026;CORTOS;5657
1/02/2026;SOBRETODO;8175
1/03/2026;SOBRETODO;3713
1/02/2026;DEPORTIVO;92
1/03/2026;DEPORTIVO;45
1/02/2026;PANTALONES DE MODA;4557
1/03/2026;PANTALONES DE MODA;2451
1/02/2026;ACCESORIOS;6893
1/03/2026;ACCESORIOS;3844
1/02/2026;PRODUCTOS DE MODA;1285
1/03/2026;PRODUCTOS DE MODA;709
1/02/2026;ROPA INTERIOR;16
1/03/2026;ROPA INTERIOR;27
1/02/2026;MARROQUINERIA;5466
1/03/2026;MARROQUINERIA;3280
