fecha;Linea;Cantidad
01/03/2023;PANTALONES DE MODA;4328
01/03/2023;ACCESORIOS;6987
01/03/2023;PRODUCTOS DE MODA;1348
01/03/2023;ROPA INTERIOR;5465
01/03/2023;MARROQUINERIA;2557
01/04/2023;PANTALON;16426
01/04/2023;CAMISETA;33059
01/04/2023;BLUSA;5091
01/04/2023;CORTOS;6158
01/04/2023;SOBRETODO;4090
01/04/2023;CALZADO;2686
01/04/2023;DEPORTIVO;505
01/04/2023;PANTALONES DE MODA;5106
01/04/2023;ACCESORIOS;7857
01/04/2023;PRODUCTOS DE MODA;1840
01/04/2023;ROPA INTERIOR;5840
01/04/2023;MARROQUINERIA;3272
01/05/2023;PANTALON;24886
01/05/2023;CAMISETA;32917
01/05/2023;BLUSA;6828
01/05/2023;CORTOS;6738
01/05/2023;SOBRETODO;4476
01/05/2023;CALZADO;2846
01/05/2023;DEPORTIVO;372
01/05/2023;PANTALONES DE MODA;5798
01/05/2023;ACCESORIOS;7945
01/05/2023;PRODUCTOS DE MODA;1640
01/05/2023;ROPA INTERIOR;4957
01/05/2023;MARROQUINERIA;3163
01/06/2023;PANTALON;32812
01/06/2023;CAMISETA;48752
01/06/2023;BLUSA;8605
01/06/2023;CORTOS;10979
01/06/2023;SOBRETODO;5548
01/06/2023;CALZADO;3774
01/06/2023;DEPORTIVO;352
01/06/2023;PANTALONES DE MODA;8913
01/06/2023;ACCESORIOS;9969
01/06/2023;PRODUCTOS DE MODA;2375
01/06/2023;ROPA INTERIOR;6963
01/06/2023;MARROQUINERIA;4567
01/07/2023;PANTALON;31195
01/07/2023;CAMISETA;53963
01/07/2023;BLUSA;9383
01/07/2023;CORTOS;13233
01/07/2023;SOBRETODO;7525
01/07/2023;CALZADO;4940
01/07/2023;DEPORTIVO;214
01/07/2023;PANTALONES DE MODA;12473
01/07/2023;ACCESORIOS;10285
01/07/2023;PRODUCTOS DE MODA;3199
01/07/2023;ROPA INTERIOR;7493
01/07/2023;MARROQUINERIA;4464
01/08/2023;PANTALON;20130
01/08/2023;CAMISETA;33400
01/08/2023;BLUSA;6340
01/08/2023;CORTOS;8485
01/08/2023;SOBRETODO;4417
01/08/2023;CALZADO;2955
01/08/2023;DEPORTIVO;41
01/08/2023;PANTALONES DE MODA;6501
01/08/2023;ACCESORIOS;7075
01/08/2023;PRODUCTOS DE MODA;1725
01/08/2023;ROPA INTERIOR;5763
01/08/2023;MARROQUINERIA;2744
01/09/2023;PANTALON;20759
01/09/2023;CAMISETA;41558
01/09/2023;BLUSA;7087
01/09/2023;CORTOS;8787
01/09/2023;SOBRETODO;4124
01/09/2023;CALZADO;3703
01/09/2023;DEPORTIVO;16
01/09/2023;PANTALONES DE MODA;6629
01/09/2023;ACCESORIOS;9277
01/09/2023;PRODUCTOS DE MODA;3763
01/09/2023;ROPA INTERIOR;6915
01/09/2023;MARROQUINERIA;3801
01/10/2023;PANTALON;24504
01/10/2023;CAMISETA;44150
01/10/2023;BLUSA;7041
01/10/2023;CORTOS;12316
01/10/2023;SOBRETODO;5266
01/10/2023;CALZADO;4072
01/10/2023;DEPORTIVO;13
01/10/2023;PANTALONES DE MODA;7102
01/10/2023;ACCESORIOS;8898
01/10/2023;PRODUCTOS DE MODA;4918
01/10/2023;ROPA INTERIOR;7344
01/10/2023;MARROQUINERIA;4336
01/11/2023;PANTALON;57834
01/11/2023;CAMISETA;93681
01/11/2023;BLUSA;14431
01/11/2023;CORTOS;29495
01/11/2023;SOBRETODO;12884
01/11/2023;CALZADO;8418
01/11/2023;DEPORTIVO;8
01/11/2023;PANTALONES DE MODA;11978
01/11/2023;ACCESORIOS;13121
01/11/2023;PRODUCTOS DE MODA;10528
01/11/2023;ROPA INTERIOR;9497
01/11/2023;MARROQUINERIA;7216
01/12/2023;PANTALON;109438
01/12/2023;CAMISETA;198184
01/12/2023;BLUSA;29040
01/12/2023;CORTOS;54918
01/12/2023;SOBRETODO;23799
01/12/2023;CALZADO;15317
01/12/2023;DEPORTIVO;750
01/12/2023;PANTALONES DE MODA;25846
01/12/2023;ACCESORIOS;29643
01/12/2023;PRODUCTOS DE MODA;18415
01/12/2023;ROPA INTERIOR;21155
01/12/2023;MARROQUINERIA;14107
01/01/2024;PANTALON;10483
01/01/2024;CAMISETA;21449
01/01/2024;BLUSA;2472
01/01/2024;CORTOS;5092
01/01/2024;SOBRETODO;2791
01/01/2024;CALZADO;1004
01/01/2024;DEPORTIVO;287
01/01/2024;PANTALONES DE MODA;4279
01/01/2024;ACCESORIOS;5765
01/01/2024;PRODUCTOS DE MODA;1765
01/01/2024;ROPA INTERIOR;2677
01/01/2024;MARROQUINERIA;2407
01/02/2024;PANTALON;11557
01/02/2024;CAMISETA;25099
01/02/2024;BLUSA;3176
01/02/2024;CORTOS;5472
01/02/2024;SOBRETODO;3558
01/02/2024;CALZADO;1226
01/02/2024;DEPORTIVO;626
01/02/2024;PANTALONES DE MODA;5049
01/02/2024;ACCESORIOS;6799
01/02/2024;PRODUCTOS DE MODA;1739
01/02/2024;ROPA INTERIOR;3251
01/02/2024;MARROQUINERIA;2764
01/03/2024;PANTALON;17866
01/03/2024;CAMISETA;36845
01/03/2024;BLUSA;4310
01/03/2024;CORTOS;7748
01/03/2024;SOBRETODO;4399
01/03/2024;CALZADO;2228
01/03/2024;DEPORTIVO;952
01/03/2024;PANTALONES DE MODA;6578
01/03/2024;ACCESORIOS;8802
01/03/2024;PRODUCTOS DE MODA;2215
01/03/2024;ROPA INTERIOR;5506
01/03/2024;MARROQUINERIA;3912
01/04/2024;PANTALON;17288
01/04/2024;CAMISETA;33180
01/04/2024;BLUSA;4494
01/04/2024;CORTOS;6672
01/04/2024;SOBRETODO;4455
01/04/2024;CALZADO;2567
01/04/2024;DEPORTIVO;871
01/04/2024;PANTALONES DE MODA;4708
01/04/2024;ACCESORIOS;8114
01/04/2024;PRODUCTOS DE MODA;1759
01/04/2024;ROPA INTERIOR;4946
